Femmes_0_24ans,Femmes_25_49ans,Femmes_50_64ans,Femmes_65_74ans,Femmes_75_84ans,Femmes_85ans_plus,Hommes_0_24ans,Hommes_25_49ans,Hommes_50_64ans,Hommes_65_74ans,Hommes_75_84ans,Hommes_85ans_plus
5,14,63,90,180,538,11,42,132,160,202,344
12,30,114,175,330,1104,20,74,271,317,436,682
20,59,185,274,482,1590,26,123,413,497,652,1014
28,77,245,359,642,2177,35,168,546,658,878,1336
33,98,312,460,780,2713,45,205,677,830,1112,1664
38,121,375,556,966,3244,56,247,798,1017,1334,2021
42,135,446,639,1124,3764,65,284,918,1173,1545,2329
47,154,505,731,1283,4296,74,328,1019,1347,1756,2636
49,179,577,849,1444,4816,81,372,1155,1541,1958,2979
58,197,636,936,1593,5420,89,409,1295,1736,2172,3293
66,223,707,1031,1764,6032,96,439,1413,1901,2393,3677
77,239,779,1126,1949,6575,107,472,1529,2092,2593,4007
82,261,839,1225,2109,7127,123,513,1651,2258,2792,4351
92,287,892,1335,2273,7678,132,550,1760,2429,3010,4678
100,309,947,1432,2431,8218,142,595,1868,2617,3238,5076
107,329,1015,1526,2648,8804,153,630,2007,2829,3462,5461
112,349,1079,1641,2837,9466,159,663,2146,3038,3689,5844
120,368,1145,1746,3033,10062,167,705,2267,3227,3958,6234
125,388,1231,1890,3238,10712,170,748,2398,3432,4214,6611
129,408,1294,1988,3456,11332,177,791,2523,3648,4489,6971
133,436,1360,2096,3631,11921,191,817,2641,3864,4734,7323
134,454,1433,2198,3806,12534,201,852,2768,4066,4992,7724
139,485,1499,2322,4006,13155,216,901,2905,4289,5284,8131
150,499,1563,2437,4201,13825,226,934,3038,4507,5560,8568
154,516,1652,2549,4401,14498,236,981,3187,4730,5894,9052
160,539,1720,2669,4639,15191,242,1026,3320,4961,6238,9533
168,566,1791,2794,4883,15892,248,1076,3478,5190,6558,10020
172,593,1863,2936,5099,16675,255,1124,3623,5449,6908,10498
177,610,1944,3047,5314,17411,260,1164,3756,5649,7264,10991
181,631,2019,3189,5573,18224,263,1207,3926,5905,7606,11549
184,653,2097,3339,5796,19080,272,1248,4106,6149,7990,12111
189,679,2183,3460,6052,19965,284,1299,4250,6402,8360,12708
195,698,2252,3587,6275,20805,294,1344,4385,6660,8723,13267
199,723,2332,3729,6530,21738,302,1384,4560,6913,9057,13790
202,740,2407,3855,6813,22601,307,1439,4709,7147,9413,14322
205,757,2477,3973,7051,23495,313,1472,4869,7371,9759,14902
212,777,2565,4090,7296,24391,322,1506,5016,7634,10097,15455
217,804,2638,4204,7544,25284,330,1544,5150,7882,10427,15995
220,825,2711,4319,7779,26122,332,1588,5292,8140,10751,16539
232,841,2787,4440,8025,26951,340,1634,5418,8357,11072,17035
238,872,2854,4552,8257,27843,353,1687,5557,8576,11377,17554
248,889,2911,4665,8479,28635,363,1733,5704,8825,11671,18034
257,913,2964,4764,8686,29401,369,1775,5829,9026,11946,18490
263,929,3045,4905,8928,30161,375,1805,5958,9258,12227,18943
272,948,3122,5011,9129,30960,384,1845,6115,9461,12523,19370
280,967,3187,5132,9341,31722,385,1886,6239,9672,12810,19772
288,976,3259,5232,9534,32422,399,1932,6352,9863,13094,20230
294,992,3333,5307,9763,33209,408,1966,6485,10061,13372,20710
299,1003,3418,5412,9970,33925,418,2003,6602,10265,13633,21098
303,1019,3481,5525,10146,34644,422,2038,6708,10444,13861,21474
306,1034,3550,5610,10319,35292,428,2075,6810,10626,14093,21825
312,1050,3607,5695,10492,35925,433,2103,6951,10828,14314,22176
316,1066,3679,5808,10660,36487,442,2131,7078,11017,14556,22548
319,1085,3741,5916,10821,37101,453,2166,7203,11192,14758,22924
326,1104,3805,6014,10979,37669,463,2201,7331,11375,14977,23299
332,1125,3862,6094,11165,38223,471,2244,7445,11556,15218,23638
336,1137,3917,6181,11336,38737,477,2282,7567,11734,15432,23955
340,1151,3969,6279,11491,39272,482,2311,7697,11891,15635,24257
345,1168,4037,6362,11634,39804,495,2331,7811,12073,15867,24603
349,1180,4095,6460,11785,40337,507,2371,7934,12235,16079,24895
351,1196,4177,6550,11927,40833,517,2419,8033,12412,16280,25163
354,1212,4238,6646,12066,41299,524,2455,8139,12560,16460,25442
361,1230,4303,6738,12225,41813,538,2486,8237,12734,16633,25717
364,1248,4362,6820,12353,42314,546,2512,8328,12892,16836,26018
368,1271,4428,6922,12509,42827,558,2554,8447,13082,17036,26283
373,1291,4481,6989,12668,43344,563,2597,8574,13240,17236,26577
376,1308,4537,7083,12805,43823,570,2636,8699,13405,17429,26881
383,1323,4579,7179,12957,44297,577,2673,8828,13567,17630,27156
388,1343,4636,7274,13108,44798,582,2704,8938,13729,17833,27423
395,1356,4692,7367,13256,45272,588,2728,9059,13869,18017,27692
400,1379,4746,7463,13398,45743,594,2753,9156,14041,18196,27991
404,1400,4804,7534,13540,46202,601,2783,9277,14191,18376,28271
412,1412,4866,7618,13681,46657,609,2834,9413,14350,18562,28532
420,1440,4920,7710,13853,47124,618,2887,9512,14507,18740,28808
429,1462,4979,7787,14011,47580,629,2922,9622,14659,18917,29083
438,1483,5046,7883,14175,48026,639,2968,9757,14850,19117,29344
441,1503,5108,7977,14321,48479,657,3011,9862,15031,19302,29616
445,1523,5173,8065,14467,48905,671,3038,9959,15185,19469,29925
454,1542,5225,8137,14601,49386,683,3086,10098,15357,19660,30215
460,1566,5286,8211,14748,49903,689,3121,10231,15553,19858,30512
464,1587,5357,8288,14898,50389,697,3163,10361,15737,20068,30815
471,1609,5424,8381,15060,50917,712,3207,10481,15901,20288,31100
477,1623,5507,8460,15203,51436,721,3237,10607,16084,20457,31418
482,1634,5577,8543,15347,51889,726,3279,10727,16245,20657,31690
488,1648,5627,8610,15467,52280,739,3323,10839,16384,20815,31941
493,1664,5693,8705,15618,52730,753,3354,10958,16549,20980,32187
499,1683,5748,8816,15757,53171,763,3406,11075,16709,21185,32437
502,1696,5806,8901,15894,53612,773,3446,11190,16856,21364,32717
504,1722,5859,8993,16030,54079,790,3485,11316,16998,21563,33004
508,1742,5912,9076,16168,54521,802,3521,11447,17162,21742,33258
516,1760,5978,9168,16301,54928,812,3562,11567,17324,21940,33480
522,1781,6025,9247,16443,55363,827,3604,11664,17474,22122,33723
526,1792,6077,9326,16597,55801,839,3638,11789,17620,22314,33995
536,1811,6143,9419,16746,56271,850,3673,11911,17784,22494,34266
540,1835,6194,9495,16875,56748,860,3709,12028,17970,22659,34515
547,1852,6256,9587,17017,57197,871,3744,12161,18143,22846,34790
555,1873,6307,9674,17157,57613,884,3775,12275,18278,23030,35033
567,1891,6372,9781,17320,58055,896,3816,12397,18419,23220,35273
572,1905,6413,9856,17440,58461,908,3846,12487,18570,23388,35522
575,1921,6456,9947,17568,58900,918,3886,12594,18743,23547,35752
581,1939,6507,10040,17713,59363,928,3927,12728,18893,23728,36007
585,1955,6574,10119,17866,59786,938,3965,12852,19055,23902,36250
589,1977,6655,10213,18012,60204,946,4010,12986,19231,24085,36509
598,1996,6716,10297,18160,60634,956,4048,13106,19406,24247,36782
602,2011,6762,10389,18311,61087,965,4080,13227,19562,24435,37041
611,2032,6827,10468,18452,61517,974,4120,13342,19706,24608,37289
616,2058,6877,10553,18597,61978,983,4156,13457,19870,24808,37520
620,2084,6933,10653,18745,62396,995,4199,13569,20023,25029,37779
628,2104,6991,10743,18905,62816,1003,4233,13672,20154,25213,38042
637,2117,7051,10830,19044,63263,1011,4268,13794,20306,25387,38316
645,2139,7101,10915,19167,63695,1017,4300,13916,20457,25573,38579
649,2153,7154,11008,19314,64120,1030,4342,14013,20624,25761,38833
654,2174,7206,11091,19461,64605,1036,4374,14110,20776,25955,39099
659,2190,7271,11179,19615,65067,1046,4419,14242,20942,26161,39365
664,2210,7333,11263,19751,65557,1054,4466,14351,21116,26369,39672
673,2227,7383,11364,19912,66001,1061,4515,14469,21291,26548,39953
678,2245,7444,11460,20067,66508,1076,4554,14588,21481,26752,40252
685,2273,7501,11541,20223,66998,1086,4607,14720,21680,26954,40553
688,2287,7568,11638,20366,67480,1103,4636,14834,21823,27115,40824
694,2299,7625,11741,20498,67912,1109,4659,14935,21977,27279,41070
700,2316,7674,11823,20616,68313,1121,4695,15044,22114,27458,41315
704,2335,7732,11911,20756,68716,1131,4743,15134,22291,27640,41556
710,2350,7797,11996,20917,69142,1138,4791,15245,22459,27805,41781
715,2370,7860,12076,21058,69560,1145,4832,15356,22626,27989,42019
721,2391,7917,12154,21170,69976,1154,4875,15457,22790,28165,42226
730,2406,7982,12245,21278,70349,1166,4904,15545,22937,28351,42467
738,2419,8050,12332,21404,70803,1179,4948,15644,23107,28526,42716
745,2432,8112,12419,21536,71228,1187,4979,15744,23266,28720,42956
754,2455,8165,12504,21666,71646,1199,5025,15882,23408,28896,43181
761,2480,8216,12599,21799,72054,1207,5055,15993,23570,29056,43404
764,2492,8273,12683,21948,72554,1220,5088,16112,23708,29250,43656
769,2515,8334,12781,22105,73042,1229,5125,16234,23852,29426,43923
773,2529,8385,12877,22225,73434,1241,5155,16334,23995,29595,44167
776,2549,8457,12954,22375,73808,1248,5180,16435,24149,29765,44411
781,2572,8521,13037,22516,74187,1258,5209,16545,24298,29960,44636
792,2586,8572,13109,22650,74599,1274,5249,16656,24443,30136,44874
797,2602,8632,13180,22774,75004,1288,5286,16766,24607,30314,45088
801,2617,8687,13263,22916,75396,1303,5315,16867,24758,30462,45310
807,2634,8739,13346,23044,75764,1313,5351,16946,24905,30652,45558
811,2647,8784,13419,23192,76125,1320,5385,17047,25052,30788,45776
813,2664,8835,13491,23323,76515,1331,5405,17143,25178,30934,45989
817,2681,8881,13565,23455,76889,1342,5431,17245,25333,31076,46242
